epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,3720.11,1.53021,0.79765,1.04989,0.91615,0.90221,0.94116,0.4934,1.63019,0.74622,1.00914,0.0004489,0.0004489,0.0004489
169,3735.72,1.60815,0.805,1.0562,0.9146,0.90642,0.94249,0.48918,1.63445,0.74376,1.00584,0.0004456,0.0004456,0.0004456
170,3742.05,1.54373,0.7692,1.05054,0.9146,0.90642,0.94249,0.48918,1.63445,0.74376,1.00584,0.0004423,0.0004423,0.0004423
171,3755.69,1.59216,0.77983,1.04985,0.90869,0.90826,0.94027,0.49013,1.62639,0.7436,1.00098,0.000439,0.000439,0.000439
172,3767.56,1.55805,0.81233,1.05841,0.90869,0.90826,0.94027,0.49013,1.62639,0.7436,1.00098,0.0004357,0.0004357,0.0004357
173,3783.15,1.61145,0.79913,1.04584,0.90681,0.90275,0.94,0.49102,1.6084,0.74542,0.997,0.0004324,0.0004324,0.0004324
174,3801.31,1.60993,0.81456,1.04534,0.90681,0.90275,0.94,0.49102,1.6084,0.74542,0.997,0.0004291,0.0004291,0.0004291
175,3817.45,1.70523,0.88347,1.10806,0.92139,0.90459,0.95334,0.49894,1.58318,0.74507,0.99428,0.0004258,0.0004258,0.0004258
176,3831.11,1.58982,0.77755,1.03297,0.92139,0.90459,0.95334,0.49894,1.58318,0.74507,0.99428,0.0004225,0.0004225,0.0004225
177,3852.08,1.58768,0.78123,1.05602,0.91251,0.89951,0.9422,0.50626,1.54825,0.73905,0.98996,0.0004192,0.0004192,0.0004192
178,3867.3,1.46678,0.79037,1.03315,0.91251,0.89951,0.9422,0.50626,1.54825,0.73905,0.98996,0.0004159,0.0004159,0.0004159
179,3883.95,1.54566,0.79472,1.0488,0.91673,0.89358,0.94027,0.51043,1.53549,0.7368,0.99143,0.0004126,0.0004126,0.0004126
